Id,Phylum_color,Order_color,Name,Domain,Phylum,Class,Order,Family,Genus,Size
OTU405,#FF8000FF,Others,Flavobacterium,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,16725
OTU2294,#FF00FFFF,Others,Bacteria,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,3183
OTU382,#FF00FFFF,Others,Gemmatimonas,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,1345
OTU108,#FF00FFFF,Others,Gemmatimonas,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,1925
OTU1041,#00FF00FF,Others,Bacteria,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halothermothrix,3126
OTU86,#8000FFFF,Others,Bacteria,Bacteria,Chloroflexi,Chloroflexia,Kallotenuales,Kallotenuaceae,Kallotenue,9605
OTU417,#8000FFFF,Others,Bacteria,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Thermosporotrichaceae,Thermosporothrix,692
OTU94,#00FF00FF,Others,Streptococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,36589
OTU776,#FFFF00FF,Others,Methylophilaceae,Bacteria,Betaproteobacteria,Methylophilales,Methylophilales,Methylophilaceae,Methylophilus,14713
OTU106,#FFFF00FF,Others,Methylophilus,Bacteria,Betaproteobacteria,Methylophilales,Methylophilales,Methylophilaceae,Methylophilus,3210
OTU303,#FFFF00FF,Others,Methylophilaceae,Bacteria,Betaproteobacteria,Methylophilales,Methylophilales,Methylophilaceae,Methylobacillus,26126
OTU447,#FFFF00FF,Others,Methylophilaceae,Bacteria,Betaproteobacteria,Methylophilales,Methylophilales,Methylophilaceae,Methylobacillus,26465
OTU735,#00FF80FF,Others,Sorangiineae,Bacteria,Deltaproteobacteria,Myxococcales,Myxococcales,Phaselicystidaceae,Phaselicystis,18240
OTU479,#00FF80FF,Others,Nannocystineae,Bacteria,Deltaproteobacteria,Myxococcales,Myxococcales,Kofleriaceae,Kofleria,7883
OTU346,#00FF80FF,Others,Nannocystineae,Bacteria,Deltaproteobacteria,Myxococcales,Myxococcales,Kofleriaceae,Kofleria,7767
OTU258,#00FF80FF,Others,Sorangiineae,Bacteria,Deltaproteobacteria,Myxococcales,Myxococcales,Phaselicystidaceae,Phaselicystis,21180
OTU632,#00FF80FF,Others,Nannocystineae,Bacteria,Deltaproteobacteria,Myxococcales,Myxococcales,Kofleriaceae,Kofleria,6254
OTU926,#0080FFFF,Others,Gammaproteobacteria,Bacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillales,Oceanospirillales_incertae_sedis,Gynuella,9283
OTU338,#0080FFFF,Others,Gammaproteobacteria,Bacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillales,Oceanospirillales_incertae_sedis,Gynuella,37682
OTU799,#0080FFFF,Others,Gammaproteobacteria,Bacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillales,Oceanospirillales_incertae_sedis,Gynuella,15186
OTU97,#80FF00FF,Others,Opitutus,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,11288
OTU842,orangered,Others,Parvularculaceae,Bacteria,Alphaproteobacteria,Parvularculales,Parvularculales,Parvularculaceae,Parvularcula,28744
OTU433,#0080FFFF,Others,Pseudomonas,Bacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadales,Pseudomonadaceae,Pseudomonas,14737
OTU156,#0080FFFF,Others,Proteobacteria,Bacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadales,Pseudomonadaceae,Rhizobacter,5059
OTU668,#0080FFFF,Others,Cellvibrio,Bacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadales,Pseudomonadaceae,Cellvibrio,18066
OTU589,#0080FFFF,Others,Proteobacteria,Bacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadales,Pseudomonadaceae,Rhizobacter,5027
OTU458,#0080FFFF,Others,Proteobacteria,Bacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadales,Pseudomonadaceae,Rhizobacter,4288
OTU2236,#0080FFFF,Others,Pseudomonas,Bacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadales,Pseudomonadaceae,Pseudomonas,1863
OTU616,#0080FFFF,Others,Pseudomonas,Bacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadales,Pseudomonadaceae,Pseudomonas,11008
OTU1613,#0080FFFF,Others,Pseudomonas,Bacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadales,Pseudomonadaceae,Pseudomonas,2712
OTU85,#0080FFFF,Others,Rhizobacter,Bacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadales,Pseudomonadaceae,Rhizobacter,3658
OTU707,#0080FFFF,Others,Proteobacteria,Bacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadales,Pseudomonadaceae,Rhizobacter,2932
OTU185,#0080FFFF,Others,Cellvibrio,Bacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadales,Pseudomonadaceae,Cellvibrio,40267
OTU465,orangered,Others,Gemmobacter,Bacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacterales,Rhodobacteraceae,Gemmobacter,16747
OTU808,orangered,Others,Alphaproteobacteria,Bacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacterales,Rhodobacteraceae,Albimonas,22378
OTU1118,orangered,Others,Rubellimicrobium,Bacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,1982
OTU932,orangered,Others,Roseivivax,Bacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacterales,Rhodobacteraceae,Roseivivax,9019
OTU821,#FFFF00FF,Others,Rhodocyclaceae,Bacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclales,Rhodocyclaceae,Dechloromonas,9751
OTU146,#FFFF00FF,Others,Betaproteobacteria,Bacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclales,Rhodocyclaceae,Denitratisoma,1081
OTU328,orangered,Others,Lacibacterium,Bacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales,Rhodospirillaceae,Lacibacterium,18841
OTU128,orangered,Others,Lacibacterium,Bacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales,Rhodospirillaceae,Lacibacterium,12569
OTU238,orangered,Others,Azospirillum,Bacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales,Rhodospirillaceae,Azospirillum,19098
OTU509,#00FFFFFF,Others,Actinobacteria,Bacteria,Actinobacteria,Rubrobacteridae,Solirubrobacterales,Conexibacteraceae,Conexibacter,35383
OTU596,#8000FFFF,Others,Chloroflexi,Bacteria,Chloroflexi,Sphaerobacteridae,Sphaerobacterales,Sphaerobacteraceae,Sphaerobacter,33043
OTU59,#8000FFFF,Others,Bacteria,Bacteria,Chloroflexi,Sphaerobacteridae,Sphaerobacterales,Sphaerobacteraceae,Nitrolancea,22455
OTU626,#8000FFFF,Others,Sphaerobacteraceae,Bacteria,Chloroflexi,Sphaerobacteridae,Sphaerobacterales,Sphaerobacteraceae,Nitrolancea,27538
OTU691,#8000FFFF,Others,Bacteria,Bacteria,Chloroflexi,Sphaerobacteridae,Sphaerobacterales,Sphaerobacteraceae,Nitrolancea,1392
OTU559,#FF8000FF,Others,Niastella,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Niastella,6333
OTU553,#FF8000FF,Others,Niastella,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Niastella,3504
OTU918,#FF8000FF,Others,Niastella,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Niastella,3991
OTU356,#FF8000FF,Others,Niastella,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Niastella,2903
